Generation,m5,p2,p4,p1,m6,p5,m1,m2,m3,m4,p3,p6
0,-0.00701954175142606,-0.0026233968556836984,-0.016195393949917015,-0.04107363469525985,-0.008573308823031226,-0.004663271388730983,-0.0011965390074219612,-0.01540184127230297,0.0018784954372560226,-0.03566964932888122,-0.005097258999862581,-0.028712355666178708
500,0.050208691688278795,0.14961557792603628,0.039362296151725734,0.0853111375788881,0.05309593183431178,0.07767171744001045,0.03766411325584196,0.06783253282919852,0.08914532288931434,0.03519013593817425,0.10511281809783513,0.09583648339466827
1000,0.0849785661084301,0.14774697759867012,0.1289842654377249,0.1640879548075455,0.11063307856889909,0.13246749773132116,0.0540745663837155,0.1192524343575793,0.06782036154374979,0.047109872498770605,0.09335205818571479,0.10225735757513954
1500,0.15009089980000828,0.17659222194373808,0.15969351161356338,0.137655773323392,0.16702609851817485,0.169851839905946,0.07932565305738787,0.16057459500804203,0.13344838470745987,0.11702113879394507,0.12977997997069837,0.11735316472353405
2000,0.13695174280801156,0.20229423558714466,0.08495255130370516,0.15073096511952705,0.13811173835996904,0.1783485703324409,0.16501394255493598,0.13793851727599532,0.1404903954145201,0.1564010854632775,0.1694336738926941,0.12107997068616295
2500,0.18480067537005707,0.2001896185991962,0.19633980800433354,0.22208537169850331,0.12478943592958613,0.22061135252868835,0.1901294270446839,0.13708045545066178,0.14414030240871056,0.13437840332397416,0.2133016634182245,0.1814613773328187
3000,0.15594233859703405,0.23754081661705828,0.19448814163124878,0.18701670405312612,0.129254555200828,0.23650502603761137,0.12510583185002913,0.17827403132788816,0.15067153236713976,0.16320271767774447,0.20116296025235023,0.144881909544
3500,0.1575480311867447,0.21364123194800574,0.20576576944934838,0.17069308376394582,0.22664973331794688,0.21823584627519083,0.1657515078232645,0.2262418445850729,0.23535723991946156,0.15577342673971378,0.1769413309654439,0.15677933971773889
4000,0.20359077699802425,0.2577146383046153,0.19180573526315658,0.16211710796141854,0.20657738938901982,0.2321767195011546,0.19022971053032545,0.20931075981458896,0.14855591252891548,0.19496381789811706,0.18682131857338463,0.1862508047771602
4500,0.20154802405504912,0.2815539663023269,0.27412455422568527,0.20580815954483245,0.10823749025141875,0.19120507324895286,0.18833613966920038,0.18820243456133717,0.19056557573636074,0.12697061599851925,0.21759017204237896,0.0
5000,0.1789629502279343,0.2348706034084882,0.22840473649689627,0.13113801022239516,0.13700464225527853,0.24986525323625577,0.19018965041170413,0.2054266562276078,0.16074898548587205,0.18792931906129515,0.22964809445554696,0.0
6000,0.1535175856138295,0.24975496435740893,0.1858232399331691,0.2077848335837587,0.196635813923618,0.2611670133220776,0.20655909437051706,0.17719415721248938,0.20600928903813392,0.18018399398236398,0.20052799998941964,0.0
7000,0.19731130399134184,0.2691406344689771,0.2710703647528627,0.18294182359203692,0.14336763555800888,0.2074458307366455,0.17844770576824187,0.2124868204214485,0.20952042917790253,0.23859913216968343,0.25412157736686314,0.0
8000,0.21024744226431102,0.2875491840490271,0.24133221065601396,0.19861472101812572,0.17219096236195114,0.29496069400306324,0.25757003645614895,0.1887940409854525,0.2229478913460206,0.19726606455465961,0.2711957222396888,0.0
9000,0.2525840776039493,0.27899191247069427,0.25207612387601674,0.23014474938030538,0.20668519520486706,0.24983220551970675,0.23774106639033482,0.25403528489316207,0.18613600338352557,0.2618363570719565,0.2715574656220475,0.0
10000,0.16610116988908705,0.2555952938381094,0.2959999898932895,0.15675729161476712,0.21317561673123175,0.258056274476831,0.1930389958696116,0.24724977345249743,0.2543724005602656,0.26669826818033043,0.2624245810353403,0.0
11000,0.23596969312756993,0.19130545944914853,0.24739371375289493,0.20833529587762067,0.18196242338413193,0.24600838942177483,0.20053093624458346,0.24084455438824398,0.189725153709361,0.26259818950881386,0.2915855688597933,0.0
12000,0.2231711908993818,0.24596307715949006,0.24269037071205588,0.20602907419093047,0.19095634406422374,0.25984503279836024,0.2283144067619845,0.2401039686147033,0.2770724741385245,0.21308442107167172,0.23485497733955224,0.0
13000,0.24002623471996432,0.22710571997631995,0.23527006372934633,0.2387072668167104,0.26889380618728387,0.28161531664573103,0.22858663010206623,0.2547442262448242,0.21462794523329803,0.24621536616330986,0.2672427943250772,0.0
14000,0.22383219020318423,0.23615760769305472,0.2379004418285598,0.21368898281371612,0.2502464602646085,0.2972615757969318,0.1900550696648161,0.2505354384466024,0.26284005291703144,0.25051659435882867,0.27945057197276585,0.0
15000,0.2477011595032845,0.21527163221773168,0.28590064934283765,0.2894834472057738,0.19892594678363829,0.2969585629002009,0.24515395487525896,0.279141021801466,0.2677358763319844,0.28710929723788936,0.3105680968108554,0.0
16000,0.20489746552852595,0.2597541535757485,0.291095290103441,0.2195218522874286,0.23178488486348786,0.2772042640309812,0.2064802650248392,0.26653015445016587,0.30382329860183954,0.30721987342374535,0.27111511367035046,0.0
17000,0.2307330427368426,0.2687525477934324,0.2873386991333541,0.1907659511237912,0.23741467133785052,0.2917293479666302,0.2414394180817701,0.26343394390755903,0.241913762188039,0.26871968143553954,0.2945611134091537,0.0
18000,0.2660278029294483,0.34883880021409036,0.302537061759276,0.2574378644515809,0.24061095825405965,0.28314700057430375,0.2757461686813012,0.3209792391962506,0.2766014825784505,0.29970714623894457,0.2770694729175226,0.0
19000,0.23849794435480196,0.20249818123604602,0.33420682666961543,0.29431268925340914,0.21112339262303553,0.2756227681924368,0.23895109607862755,0.3208266482223313,0.23101909661268766,0.29001671526003636,0.28920940870223366,0.0
20000,0.2588491848032388,0.32680279659734485,0.3032176007150512,0.2579841750133962,0.13822511177354832,0.24853632890775956,0.23394381992597024,0.31363338488801473,0.3251497744374673,0.3587521129875881,0.2550587662121975,0.0
22000,0.2284562225775411,0.34900181538848374,0.274881907914575,0.23280718704115,0.2189023976022623,0.30842598770278995,0.2797704547564818,0.29471106131872826,0.22820481448955243,0.24364429923277237,0.28705578195676873,0.0
24000,0.23718332025854988,0.3325280701690899,0.256055257849196,0.26673538263171936,0.25291759397043884,0.3122396202373633,0.27540271473519,0.2965111436290544,0.2774793606672715,0.2640365815075908,0.28531622966475956,0.0
26000,0.23956767972203585,0.2660776512984594,0.276939048450243,0.24253521353561264,0.24632860682351612,0.3494609854684987,0.2586994170911886,0.31371053817549055,0.24320905305199592,0.37720170892595484,0.2883490748639942,0.0
28000,0.2741686623027193,0.33194652332627894,0.2918185564891397,0.22664166202095243,0.23851960961277913,0.2870129222238252,0.2910417891036848,0.2765583584957756,0.25375041746246385,0.270579599182191,0.3080646956492364,0.0
30000,0.2627334578054452,0.296492577716809,0.3480755459147994,0.24479746556892312,0.24651246054514098,0.3045215833553979,0.2253887905269614,0.44270597606431195,0.23842493123734726,0.273654287601094,0.31578261109225536,0.0
32000,0.2685554077828529,0.3301444647436189,0.35131770938837004,0.255424400340493,0.3141275494236918,0.29757289780501045,0.3345924245869545,0.0,0.29892891793655463,0.3106662334557449,0.2586394270066654,0.0
34000,0.3033572546526502,0.29831846525403904,0.3282637367480903,0.19922815633093102,0.2583957906560535,0.34777531780175475,0.3236607599722158,0.0,0.0,0.34544540081141717,0.3584486962827546,0.0
36000,0.3023125576041408,0.35030485221610064,0.3231619478675934,0.2593754112048726,0.30530116304473615,0.2813445802537432,0.3921021911941541,0.0,0.0,0.2637268417229529,0.29115108968611264,0.0
38000,0.26541785487310565,0.38391145005284455,0.2945370108827039,0.2895810996628665,0.30642796060346156,0.3090915285648713,0.34408829000387786,0.0,0.0,0.3531350866658991,0.3423990977114615,0.0
40000,0.3255834195608028,0.31544622948799406,0.30187804265174856,0.25705468318350866,0.33867459509118014,0.27711055240837545,0.336284242345374,0.0,0.0,0.40515660008361243,0.36626151422262976,0.0
42000,0.30312121496664113,0.3108496537837546,0.3173029115428563,0.23555441855619372,0.28523994701790634,0.2550116458506409,0.3235941591063074,0.0,0.0,0.26836380927939857,0.34825283058461054,0.0
44000,0.2582683113121202,0.3917012424317936,0.3875070663336869,0.21825167570250692,0.32311433343332985,0.2591958965116276,0.27808919292055545,0.0,0.0,0.33273012059255014,0.3633661630662948,0.0
46000,0.3048803625387694,0.3134647303991779,0.24774059083005456,0.30196108468048466,0.296957419684998,0.24458169481757452,0.32791142894065434,0.0,0.0,0.3331987219001816,0.3241162467188726,0.0
48000,0.2799277802219205,0.37878857094807683,0.2883176780246519,0.25275324496879625,0.2817658939543143,0.32756756019643163,0.3766236444194715,0.0,0.0,0.4172332668173981,0.2664641152823917,0.0
50000,0.3088863422417544,0.43556105202356515,0.32142480139638446,0.22089358837532458,0.2578401118616243,0.3305906336015811,0.27068079252224797,0.0,0.0,0.3632921803969285,0.32161963200411514,0.0
